Data,Tempo,Polveri Grosse,Polveri Fine
2021-05-07 15:06:35.059,0 days 15:06:35,0,0
2021-05-07 15:07:41.059,0 days 15:07:41,0,0
2021-05-07 15:08:47.042,0 days 15:08:47,0,0
2021-05-07 15:09:53.046,0 days 15:09:53,0,0
2021-05-07 15:10:59.028,0 days 15:10:59,0,0
2021-05-07 15:12:05.030,0 days 15:12:05,0,0
2021-05-07 15:13:11.011,0 days 15:13:11,0,0
2021-05-07 15:14:17.006,0 days 15:14:17,0,0
2021-05-07 15:15:24.006,0 days 15:15:24,0,0
2021-05-07 15:16:29.029,0 days 15:16:29,0,0
2021-05-07 15:17:35.033,0 days 15:17:35,0,0
2021-05-07 15:18:41.019,0 days 15:18:41,0,0
2021-05-07 15:19:47.022,0 days 15:19:47,0,0
2021-05-07 15:20:52.082,0 days 15:20:52,0,0
2021-05-07 15:21:59.028,0 days 15:21:59,0,0
2021-05-07 15:23:05.003,0 days 15:23:05,0,0
2021-05-07 15:24:10.098,0 days 15:24:10,0,35
2021-05-07 15:25:16.087,0 days 15:25:16,0,0
2021-05-07 15:26:22.074,0 days 15:26:22,0,0
2021-05-07 15:27:28.055,0 days 15:27:28,0,0
2021-05-07 15:28:35.002,0 days 15:28:35,0,0
2021-05-07 15:29:40.084,0 days 15:29:40,0,0
2021-05-07 15:30:46.051,0 days 15:30:46,0,0
2021-05-07 15:31:52.049,0 days 15:31:52,0,0
2021-05-07 15:32:58.086,0 days 15:32:58,0,0
2021-05-07 15:34:04.081,0 days 15:34:04,0,0
2021-05-07 15:35:10.055,0 days 15:35:10,0,0
2021-05-07 15:36:16.013,0 days 15:36:16,0,0
2021-05-07 15:54:46.082,0 days 15:54:46,0,0
2021-05-07 15:55:52.070,0 days 15:55:52,0,0
2021-05-07 15:56:59.000,0 days 15:56:59,0,0
2021-05-07 15:58:04.089,0 days 15:58:04,0,0
2021-05-07 15:59:10.067,0 days 15:59:10,0,0
2021-05-07 16:00:16.092,0 days 16:00:16,0,0
2021-05-07 16:01:22.043,0 days 16:01:22,0,0
2021-05-07 16:02:28.030,0 days 16:02:28,0,0
2021-05-07 16:03:34.020,0 days 16:03:34,0,0
2021-05-07 16:04:40.073,0 days 16:04:40,0,0
2021-05-07 16:05:46.065,0 days 16:05:46,0,0
2021-05-07 16:06:52.037,0 days 16:06:52,0,0
2021-05-07 16:07:58.031,0 days 16:07:58,0,0
2021-05-07 16:09:04.005,0 days 16:09:04,0,0
2021-05-07 16:10:09.092,0 days 16:10:09,0,0
